section,qn,word,
T1,Check,now,
T1,Check,later,
T1,1,as soon as possible,
T1,1,immediately,
T1,10,before,
T1,10,early,
T1,11,first,
T1,11,soon,
T1,12,as soon as possible,
T1,12,promptly,
T1,13,imminently,
T1,13,soon,
T1,2,promptly,
T1,2,slowly,
T1,3,tomorrow,
T1,3,today,
T1,4,soon,
T1,4,now,
T1,5,next week,
T1,5,this year,
T1,6,slowly,
T1,6,at some stage,
T1,7,as soon as possible,
T1,7,next,
T1,8,first,
T1,8,rapidly,
T1,9,immediately,
T1,9,promptly,
T3,1,long,
T3,1,less,
T3,2,after,
T3,2,at some point,
T3,3,later,
T3,3,eventually,
T3,4,today,
T3,4,tonight,
T3,5,this year,
T3,5,at some stage,
T3,6,quickly,
T3,6,early,
T3,7,soon,
T3,7,promptly,
T3,8,soon,
T3,8,with haste,
T3,9,soon,
T3,9,immediately,
T3,10,imminent,
T3,10,fast,
T3,11,early,
T3,11,first,
T3,12,long,
T3,12,later,
F1,1,always,
F1,1,often,
F1,2,everyday,
F1,2,sometimes,
F1,3,weekly,
F1,3,monthly,
F1,4,weekly,
F1,4,hourly,
F1,5,frequently,
F1,5,sometimes,
F1,6,scarcely,
F1,6,gradually,
F1,7,always,
F1,7,regularly,
F1,8,steadily,
F1,8,progressively,
F1,9,sometimes,
F1,9,occasionally,
F1,10,infrequent,
F1,10,unusual,
F1,11,generally,
F1,11,sometimes,
F1,12,irregularly,
F1,12,occasionally,
F1,13,relentlessly,
F1,13,incessantly,
F3,1,sometimes,
F3,1,regularly,
F3,2,sometimes,
F3,2,usually,
F3,3,progressively,
F3,3,gradually,
F3,4,constantly,
F3,4,usually,
F3,5,seldom,
F3,5,rarely,
F3,6,infrequently,
F3,6,occasionally,
F3,7,intermittently,
F3,7,incrementally,
F3,8,hardly,
F3,8,scarcely,
F3,9,sometimes,
F3,9,seldom,
F3,10,infrequently,
F3,10,sporadically,
F3,11,occasionally,
F3,11,seldom,
F3,12,generally,
F3,12,usually,
C1,1,should,
C1,1,could,
C1,2,need to,
C1,2,will,
C1,3,should,
C1,3,will,
C1,4,must,
C1,4,will,
C1,5,ready to,
C1,5,going to,
