word,assigned_score,coefficient,se,grammar_function
immediately,1,-0.2,0.18,adverb
imminently,1,-0.56,0.18,adverb
first,1,-0.86,0.4,adverb
hastily,1,-2.01,0.62,adverb
now,1,0,NA,adverb
tonight,1,-0.38,0.35,adverb
today,1,0,NA,adverb
imminent,1,NA,NA,adjective
hasty,1,NA,NA,adjective
immediate,1,NA,NA,adjective
promptly,0.9,-2.08,0.28,adverb
as soon as possible,0.9,-2.08,0.28,adverbial phrase
tomorrow,0.9,-2.32,0.32,adverb
prompt,0.9,NA,NA,adjective
quickly,0.8,-1.6,0.27,adverb
rapidly,0.8,-1.63,0.47,adverb
fast,0.8,-2.11,0.63,adverb
shortly,0.8,-2.69,0.36,adverb
speedily,0.8,-2.89,0.48,adverb
next,0.8,-2.91,0.3,adverb
this week,0.8,-2.24,0.41,adverbial phrase
quick,0.8,NA,NA,adjective
rapid,0.8,NA,NA,adjective
short,0.8,NA,NA,adjective
speedy,0.8,NA,NA,adjective
before,0.7,-0.56,0.46,conjunction
early,0.7,-2.6,0.27,adverb
next week,0.7,-3.47,0.39,adverbial phrase
earlier,0.6,NA,NA,adverb
this year,0.5,-4.96,0.43,adverbial phrase
soon(?! as possible),0.5,-3.03,0.25,adverb
afterwards,0.4,-4.19,0.63,adverb
after,0.4,-4.36,1.1,conjunction
long,0.2,-5.88,0.77,adjective
later,0.2,-6.03,0.53,adverb
slowly,0.2,-6.25,0.59,adverb
late,0.2,NA,NA,adverb
slow,0.2,NA,NA,adjective
finally,0.1,-4.55,0.56,adverb
eventually,0.05,-6.5,0.55,adverb
at some point,0.05,-6.7,0.65,adverbial phrase
at some stage,0.05,-7.74,1.1,adverbial phrase
